Order Date,Item Name,Time,Price,Quantity
2024-01-02,양념 치킨,18:00,19000,2
2024-01-02,치즈볼,16:50,5000,1
2024-01-02,생맥주 500cc,18:20,4500,1
2024-01-02,순살 치킨,17:10,18000,2
2024-01-02,소주,19:50,5000,1
2024-01-02,간장 치킨,18:00,19000,1
2024-01-02,후라이드 치킨,17:50,18000,1
2024-01-02,마늘 치킨,22:50,20000,2
2024-01-02,간장 치킨,18:00,19000,3
2024-01-02,후라이드 치킨,19:00,18000,1
2024-01-02,감자튀김,19:40,6000,2
2024-01-02,양념 치킨,20:10,19000,1
2024-01-02,감자튀김,18:20,6000,1
2024-01-02,순살 치킨,19:40,18000,1
2024-01-02,반반 치킨,23:20,19000,1
2024-01-02,반반 치킨,19:00,19000,1
2024-01-02,소주,20:50,5000,1
2024-01-02,콜라 1.25L,20:40,2500,3
2024-01-02,양념 치킨,17:10,19000,1
2024-01-02,후라이드 치킨,19:50,18000,1
2024-01-02,콜라 1.25L,22:20,2500,1
2024-01-02,치즈볼,20:50,5000,2
2024-01-02,마늘 치킨,20:30,20000,1
2024-01-02,생맥주 500cc,22:40,4500,1
2024-01-03,생맥주 500cc,21:00,4500,2
2024-01-03,반반 치킨,23:10,19000,2
2024-01-03,양념 치킨,18:20,19000,1
2024-01-03,양념 치킨,18:00,19000,2
2024-01-03,생맥주 500cc,18:00,4500,1
2024-01-03,감자튀김,16:00,6000,2
2024-01-03,후라이드 치킨,17:30,18000,1
2024-01-03,생맥주 500cc,22:00,4500,2
2024-01-03,후라이드 치킨,18:30,18000,1
2024-01-03,치즈볼,18:30,5000,1
2024-01-03,반반 치킨,18:00,19000,1
2024-01-03,양념 치킨,18:20,19000,1
2024-01-03,양념 치킨,17:50,19000,2
2024-01-03,마늘 치킨,15:50,20000,1
2024-01-03,소주,20:10,5000,1
2024-01-03,순살 치킨,19:20,18000,2
2024-01-03,마늘 치킨,18:00,20000,1
2024-01-03,생맥주 500cc,18:00,4500,1
2024-01-03,생맥주 500cc,21:10,4500,3
2024-01-03,소주,20:00,5000,1
2024-01-03,생맥주 500cc,22:50,4500,2
2024-01-03,치즈볼,19:20,5000,1
2024-01-03,간장 치킨,21:10,19000,1
2024-01-03,마늘 치킨,18:50,20000,2
2024-01-03,콜라 1.25L,22:00,2500,2
2024-01-04,순살 치킨,22:00,18000,1
2024-01-04,후라이드 치킨,19:00,18000,1
2024-01-04,치즈볼,22:20,5000,1
2024-01-04,콜라 1.25L,18:30,2500,1
2024-01-04,양념 치킨,21:30,19000,1
2024-01-04,간장 치킨,22:20,19000,3
2024-01-04,감자튀김,23:40,6000,1
2024-01-04,양념 치킨,19:50,19000,1
2024-01-04,소주,19:40,5000,1
2024-01-04,양념 치킨,18:30,19000,1
2024-01-04,소주,19:10,5000,1
2024-01-04,마늘 치킨,20:00,20000,1
2024-01-04,양념 치킨,17:30,19000,1
2024-01-04,감자튀김,12:20,6000,1
2024-01-04,감자튀김,17:10,6000,2
2024-01-04,감자튀김,22:40,6000,1
2024-01-04,반반 치킨,18:50,19000,3
2024-01-04,감자튀김,18:30,6000,2
2024-01-05,생맥주 500cc,19:40,4500,2
2024-01-05,생맥주 500cc,21:30,4500,2
2024-01-05,생맥주 500cc,19:10,4500,1
2024-01-05,양념 치킨,20:00,19000,2
2024-01-05,콜라 1.25L,19:40,2500,2
2024-01-05,감자튀김,15:20,6000,1
2024-01-05,콜라 1.25L,18:30,2500,2
2024-01-05,순살 치킨,21:50,18000,1
2024-01-05,양념 치킨,14:30,19000,1
2024-01-05,양념 치킨,18:40,19000,1
2024-01-05,후라이드 치킨,18:00,18000,2
2024-01-05,순살 치킨,19:00,18000,2
2024-01-05,후라이드 치킨,18:40,18000,1
2024-01-05,치즈볼,19:50,5000,1
2024-01-05,감자튀김,19:10,6000,2
2024-01-05,양념 치킨,20:00,19000,1
2024-01-05,마늘 치킨,20:30,20000,2
2024-01-05,생맥주 500cc,21:40,4500,1
2024-01-05,감자튀김,22:50,6000,1
2024-01-05,후라이드 치킨,22:00,18000,3
2024-01-05,생맥주 500cc,20:30,4500,1
2024-01-05,감자튀김,22:30,6000,2
2024-01-05,마늘 치킨,17:00,20000,1
2024-01-05,감자튀김,21:40,6000,1
2024-01-05,반반 치킨,18:00,19000,2
2024-01-05,소주,00:40,5000,1
2024-01-05,순살 치킨,20:00,18000,1
2024-01-05,간장 치킨,16:10,19000,1
2024-01-05,소주,22:50,5000,1
2024-01-05,후라이드 치킨,18:20,18000,1
2024-01-05,간장 치킨,19:00,19000,1
2024-01-05,순살 치킨,21:10,18000,1
2024-01-05,감자튀김,19:40,6000,2
2024-01-05,소주,20:50,5000,1
2024-01-05,순살 치킨,19:30,18000,1
2024-01-05,순살 치킨,18:30,18000,1
2024-01-05,생맥주 500cc,20:10,4500,1
2024-01-05,양념 치킨,19:50,19000,1
2024-01-05,후라이드 치킨,19:00,18000,3
2024-01-05,감자튀김,22:50,6000,1
2024-01-05,반반 치킨,21:40,19000,2
2024-01-05,감자튀김,19:50,6000,1
2024-01-05,후라이드 치킨,19:50,18000,2
2024-01-05,감자튀김,17:00,6000,1
2024-01-05,감자튀김,19:30,6000,1
2024-01-05,순살 치킨,17:10,18000,1
2024-01-05,마늘 치킨,18:20,20000,1
2024-01-05,마늘 치킨,15:10,20000,1
2024-01-06,치즈볼,21:00,5000,1
2024-01-06,양념 치킨,18:50,19000,1
2024-01-06,소주,18:10,5000,1
2024-01-06,치즈볼,18:20,5000,1
2024-01-06,순살 치킨,19:30,18000,1
2024-01-06,반반 치킨,22:20,19000,2
2024-01-06,양념 치킨,19:50,19000,1
2024-01-06,감자튀김,21:40,6000,2
2024-01-06,양념 치킨,16:10,19000,1
2024-01-06,반반 치킨,18:00,19000,2
2024-01-06,감자튀김,17:50,6000,1
2024-01-06,마늘 치킨,22:50,20000,1
2024-01-06,생맥주 500cc,21:20,4500,1
2024-01-06,소주,17:10,5000,1
2024-01-06,마늘 치킨,18:30,20000,1
2024-01-06,반반 치킨,21:30,19000,1
2024-01-06,치즈볼,18:00,5000,1
2024-01-06,간장 치킨,19:00,19000,2
2024-01-06,양념 치킨,21:00,19000,1
2024-01-06,감자튀김,19:40,6000,1
2024-01-06,간장 치킨,22:30,19000,1
2024-01-06,소주,21:10,5000,1
2024-01-06,콜라 1.25L,21:10,2500,1
2024-01-06,순살 치킨,20:20,18000,1
2024-01-06,후라이드 치킨,19:40,18000,1
2024-01-06,소주,19:40,5000,1
2024-01-06,순살 치킨,21:40,18000,1
2024-01-06,간장 치킨,19:20,19000,1
2024-01-06,반반 치킨,17:50,19000,2
2024-01-06,간장 치킨,20:40,19000,1
2024-01-06,소주,18:30,5000,1
2024-01-06,마늘 치킨,19:00,20000,2
2024-01-06,반반 치킨,22:20,19000,3
2024-01-06,소주,18:20,5000,1
2024-01-06,콜라 1.25L,21:40,2500,2
2024-01-06,소주,22:00,5000,2
2024-01-06,소주,23:30,5000,1
2024-01-06,반반 치킨,19:50,19000,2
2024-01-06,순살 치킨,18:00,18000,1
2024-01-06,생맥주 500cc,20:40,4500,2
2024-01-06,치즈볼,19:50,5000,1
2024-01-06,마늘 치킨,17:00,20000,1
2024-01-06,감자튀김,18:20,6000,1
2024-01-06,마늘 치킨,18:00,20000,1
2024-01-06,순살 치킨,19:20,18000,1
2024-01-07,치즈볼,23:10,5000,2
2024-01-07,마늘 치킨,19:20,20000,1
2024-01-07,후라이드 치킨,23:10,18000,1
2024-01-07,반반 치킨,20:40,19000,1
2024-01-07,소주,16:20,5000,2
2024-01-07,양념 치킨,17:10,19000,3
2024-01-07,소주,20:40,5000,2
2024-01-07,양념 치킨,19:30,19000,1
2024-01-07,콜라 1.25L,18:00,2500,2
2024-01-07,순살 치킨,18:00,18000,3
2024-01-07,간장 치킨,23:30,19000,1
2024-01-07,치즈볼,21:50,5000,2
2024-01-07,생맥주 500cc,15:40,4500,1
2024-01-07,후라이드 치킨,21:40,18000,1
2024-01-07,양념 치킨,14:30,19000,2
2024-01-07,감자튀김,18:40,6000,1
2024-01-07,간장 치킨,22:40,19000,1
2024-01-07,간장 치킨,17:10,19000,1
2024-01-07,마늘 치킨,20:30,20000,2
2024-01-07,후라이드 치킨,19:40,18000,1
2024-01-07,생맥주 500cc,18:20,4500,2
2024-01-07,감자튀김,15:40,6000,1
2024-01-07,순살 치킨,20:20,18000,1
2024-01-07,소주,00:00,5000,1
2024-01-07,치즈볼,19:10,5000,1
2024-01-07,반반 치킨,20:00,19000,1
2024-01-07,콜라 1.25L,17:10,2500,1
2024-01-07,소주,19:20,5000,1
2024-01-07,마늘 치킨,18:10,20000,1
2024-01-07,간장 치킨,18:30,19000,1
2024-01-07,간장 치킨,18:30,19000,1
2024-01-07,생맥주 500cc,17:30,4500,1
2024-01-07,감자튀김,20:10,6000,1
2024-01-07,치즈볼,18:50,5000,1
2024-01-07,생맥주 500cc,20:30,4500,1
2024-01-07,감자튀김,18:40,6000,1
2024-01-07,순살 치킨,19:40,18000,1
2024-01-07,양념 치킨,19:10,19000,1
2024-01-07,생맥주 500cc,18:00,4500,1
2024-01-07,콜라 1.25L,18:50,2500,2
2024-01-07,마늘 치킨,19:20,20000,1
2024-01-07,소주,20:10,5000,1
2024-01-07,치즈볼,22:50,5000,1
2024-01-07,치즈볼,18:20,5000,1
2024-01-07,생맥주 500cc,18:50,4500,1
2024-01-09,간장 치킨,23:10,19000,1
2024-01-09,생맥주 500cc,18:10,4500,2
2024-01-09,반반 치킨,17:40,19000,1
2024-01-09,순살 치킨,19:50,18000,1
2024-01-09,순살 치킨,18:00,18000,1
2024-01-09,생맥주 500cc,20:40,4500,2
2024-01-09,생맥주 500cc,17:40,4500,3
2024-01-09,생맥주 500cc,17:10,4500,1
2024-01-09,감자튀김,17:30,6000,1
2024-01-09,순살 치킨,18:00,18000,1
2024-01-09,마늘 치킨,18:40,20000,1
2024-01-09,양념 치킨,18:50,19000,1
2024-01-09,간장 치킨,12:20,19000,2
2024-01-09,치즈볼,16:10,5000,1
2024-01-09,반반 치킨,19:10,19000,1
2024-01-09,양념 치킨,20:20,19000,1
2024-01-09,반반 치킨,19:20,19000,1
2024-01-09,간장 치킨,18:30,19000,2
2024-01-09,후라이드 치킨,23:40,18000,1
2024-01-09,순살 치킨,17:00,18000,1
2024-01-09,후라이드 치킨,18:10,18000,1
2024-01-09,생맥주 500cc,22:30,4500,1
2024-01-09,치즈볼,19:50,5000,1
2024-01-09,후라이드 치킨,17:50,18000,2
2024-01-09,마늘 치킨,19:10,20000,1
2024-01-09,콜라 1.25L,23:00,2500,3
2024-01-09,콜라 1.25L,23:40,2500,1
2024-01-09,양념 치킨,19:40,19000,1
2024-01-10,감자튀김,23:00,6000,1
2024-01-10,반반 치킨,18:00,19000,3
2024-01-10,치즈볼,16:50,5000,1
2024-01-10,양념 치킨,19:00,19000,1
2024-01-10,소주,16:50,5000,1
2024-01-10,후라이드 치킨,17:20,18000,2
2024-01-10,순살 치킨,22:10,18000,1
2024-01-10,간장 치킨,16:20,19000,1
2024-01-10,간장 치킨,19:10,19000,2
2024-01-10,콜라 1.25L,17:50,2500,1
2024-01-10,후라이드 치킨,23:50,18000,1
2024-01-10,반반 치킨,22:30,19000,1
2024-01-10,양념 치킨,23:50,19000,1
2024-01-10,후라이드 치킨,00:40,18000,1
2024-01-10,치즈볼,19:10,5000,1
2024-01-10,후라이드 치킨,21:00,18000,1
2024-01-10,후라이드 치킨,21:40,18000,3
2024-01-10,간장 치킨,19:10,19000,2
2024-01-10,반반 치킨,20:20,19000,1
2024-01-10,양념 치킨,22:00,19000,1
2024-01-10,생맥주 500cc,18:00,4500,3
2024-01-10,감자튀김,21:20,6000,1
2024-01-10,양념 치킨,18:30,19000,1
2024-01-10,감자튀김,18:50,6000,1
2024-01-10,양념 치킨,18:10,19000,1
2024-01-10,순살 치킨,18:50,18000,2
2024-01-11,콜라 1.25L,21:50,2500,1
2024-01-11,콜라 1.25L,17:00,2500,1
2024-01-11,후라이드 치킨,23:30,18000,1
2024-01-11,양념 치킨,20:40,19000,1
2024-01-11,간장 치킨,19:40,19000,1
2024-01-11,콜라 1.25L,17:50,2500,2
2024-01-11,양념 치킨,19:50,19000,1
2024-01-11,반반 치킨,18:00,19000,1
2024-01-11,순살 치킨,17:40,18000,1
2024-01-11,치즈볼,18:00,5000,1
2024-01-11,감자튀김,17:10,6000,1
2024-01-11,간장 치킨,17:30,19000,1
2024-01-11,반반 치킨,19:00,19000,1
2024-01-11,소주,23:40,5000,1
2024-01-11,양념 치킨,17:30,19000,1
2024-01-11,순살 치킨,18:40,18000,1
2024-01-11,소주,17:20,5000,2
2024-01-11,후라이드 치킨,18:10,18000,1
2024-01-11,간장 치킨,18:30,19000,1
2024-01-11,간장 치킨,18:50,19000,3
2024-01-11,콜라 1.25L,17:00,2500,1
2024-01-11,후라이드 치킨,17:40,18000,1
2024-01-11,간장 치킨,18:10,19000,2
2024-01-12,마늘 치킨,19:40,20000,2
2024-01-12,소주,18:10,5000,1
2024-01-12,소주,16:00,5000,1
2024-01-12,감자튀김,19:10,6000,1
2024-01-12,콜라 1.25L,20:00,2500,3
2024-01-12,순살 치킨,21:20,18000,2
2024-01-12,마늘 치킨,16:20,20000,3
2024-01-12,반반 치킨,21:30,19000,1
2024-01-12,양념 치킨,20:30,19000,1
2024-01-12,감자튀김,21:50,6000,1
2024-01-12,간장 치킨,22:40,19000,1
2024-01-12,간장 치킨,21:10,19000,3
2024-01-12,생맥주 500cc,23:20,4500,1
2024-01-12,간장 치킨,21:00,19000,2
2024-01-12,순살 치킨,20:50,18000,1
2024-01-12,간장 치킨,18:40,19000,2
2024-01-12,치즈볼,19:40,5000,1
2024-01-12,치즈볼,19:00,5000,1
2024-01-12,후라이드 치킨,19:40,18000,1
2024-01-12,생맥주 500cc,19:20,4500,1
2024-01-12,콜라 1.25L,18:00,2500,1
2024-01-12,양념 치킨,19:10,19000,1
2024-01-12,생맥주 500cc,17:10,4500,1
2024-01-12,감자튀김,20:50,6000,3
2024-01-12,소주,17:00,5000,2
2024-01-12,소주,18:00,5000,1
2024-01-12,치즈볼,17:00,5000,3
2024-01-12,양념 치킨,20:40,19000,1
2024-01-12,간장 치킨,18:10,19000,1
2024-01-12,콜라 1.25L,20:20,2500,1
2024-01-12,간장 치킨,18:00,19000,1
2024-01-12,간장 치킨,21:10,19000,1
2024-01-12,소주,21:20,5000,2
2024-01-12,후라이드 치킨,20:20,18000,1
2024-01-12,소주,20:00,5000,1
2024-01-12,간장 치킨,21:50,19000,2
2024-01-12,간장 치킨,19:00,19000,1
2024-01-13,순살 치킨,17:50,18000,2
2024-01-13,반반 치킨,18:30,19000,1
2024-01-13,치즈볼,23:10,5000,1
2024-01-13,소주,23:40,5000,1
2024-01-13,생맥주 500cc,23:20,4500,1
2024-01-13,간장 치킨,20:10,19000,1
2024-01-13,반반 치킨,19:50,19000,1
2024-01-13,치즈볼,21:50,5000,1
2024-01-13,반반 치킨,18:40,19000,1
2024-01-13,양념 치킨,21:30,19000,1
2024-01-13,반반 치킨,17:00,19000,1
2024-01-13,콜라 1.25L,19:00,2500,1
2024-01-13,후라이드 치킨,21:50,18000,1
2024-01-13,치즈볼,16:20,5000,1
2024-01-13,감자튀김,17:50,6000,1
2024-01-13,콜라 1.25L,17:30,2500,1
2024-01-13,후라이드 치킨,00:40,18000,1
2024-01-13,소주,17:40,5000,1
